"id","Date","APPLICATION","OFFERED","ANSWERED","AVG ANS DELAY","AVG ANS DELAY SECONDS","MAX ANS DELAY","ABANDONED","DelayCallsProduct"
"2019-10-01-dba_cs_268_5311_gen_inq_script","2019/10/01","dba_cs_268_5311_gen_inq_script","130","108","00:01:53","113","00:10:09","17","12,204"
"2019-10-02-dba_cs_268_5311_gen_inq_script","2019/10/02","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-03-dba_cs_268_5311_gen_inq_script","2019/10/03","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-04-dba_cs_268_5311_gen_inq_script","2019/10/04","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-07-dba_cs_268_5311_gen_inq_script","2019/10/07","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-08-dba_cs_268_5311_gen_inq_script","2019/10/08","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-09-dba_cs_268_5311_gen_inq_script","2019/10/09","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-10-dba_cs_268_5311_gen_inq_script","2019/10/10","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-11-dba_cs_268_5311_gen_inq_script","2019/10/11","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-14-dba_cs_268_5311_gen_inq_script","2019/10/14","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-15-dba_cs_268_5311_gen_inq_script","2019/10/15","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-16-dba_cs_268_5311_gen_inq_script","2019/10/16","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
